"Label (Grouping)","Population 1 year and over"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Peoria County, Illinois",""
"    Total",""
"        Estimate","177,803"
"        Margin of Error","±313"
"    Moved; within same county",""
"        Estimate","6.9%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.2"
"Perry County, Illinois",""
"    Total",""
"        Estimate","20,697"
"        Margin of Error","±67"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","4.6%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.5"
"Piatt County, Illinois",""
"    Total",""
"        Estimate","16,581"
"        Margin of Error","±51"
"    Moved; within same county",""
"        Estimate","5.3%"
"        Margin of Error","±1.9"
"    Moved; from different county, same state",""
"        Estimate","4.1%"
"        Margin of Error","±1.8"
"    Moved; from different  state",""
"        Estimate","0.6%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Pike County, Illinois",""
"    Total",""
"        Estimate","14,478"
"        Margin of Error","±70"
"    Moved; within same county",""
"        Estimate","6.8%"
"        Margin of Error","±1.9"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Pope County, Illinois",""
"    Total",""
"        Estimate","3,725"
"        Margin of Error","±19"
"    Moved; within same county",""
"        Estimate","1.6%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±1.7"
"    Moved; from different  state",""
"        Estimate","6.4%"
"        Margin of Error","±4.1"
"    Moved; from abroad",""
"        Estimate","1.1%"
"        Margin of Error","±0.9"
"Pulaski County, Illinois",""
"    Total",""
"        Estimate","5,032"
"        Margin of Error","±24"
"    Moved; within same county",""
"        Estimate","1.9%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","6.5%"
"        Margin of Error","±3.9"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Putnam County, Illinois",""
"    Total",""
"        Estimate","5,542"
"        Margin of Error","±26"
"    Moved; within same county",""
"        Estimate","3.1%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","6.3%"
"        Margin of Error","±2.2"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Randolph County, Illinois",""
"    Total",""
"        Estimate","29,809"
"        Margin of Error","±108"
"    Moved; within same county",""
"        Estimate","5.1%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","4.8%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Richland County, Illinois",""
"    Total",""
"        Estimate","15,498"
"        Margin of Error","±56"
"    Moved; within same county",""
"        Estimate","7.6%"
"        Margin of Error","±2.4"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Rock Island County, Illinois",""
"    Total",""
"        Estimate","141,411"
"        Margin of Error","±298"
"    Moved; within same county",""
"        Estimate","7.3%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","2.5%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","2.2%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"St. Clair County, Illinois",""
"    Total",""
"        Estimate","252,202"
"        Margin of Error","±371"
"    Moved; within same county",""
"        Estimate","6.3%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","1.9%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","3.2%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.2"
"Saline County, Illinois",""
"    Total",""
"        Estimate","23,166"
"        Margin of Error","±83"
"    Moved; within same county",""
"        Estimate","9.1%"
"        Margin of Error","±2.2"
"    Moved; from different county, same state",""
"        Estimate","2.3%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Sangamon County, Illinois",""
"    Total",""
"        Estimate","193,009"
"        Margin of Error","±375"
"    Moved; within same county",""
"        Estimate","8.3%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","1.9%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Schuyler County, Illinois",""
"    Total",""
"        Estimate","6,761"
"        Margin of Error","±47"
"    Moved; within same county",""
"        Estimate","6.6%"
"        Margin of Error","±2.4"
"    Moved; from different county, same state",""
"        Estimate","3.8%"
"        Margin of Error","±2.0"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.3"
"Scott County, Illinois",""
"    Total",""
"        Estimate","4,810"
"        Margin of Error","±20"
"    Moved; within same county",""
"        Estimate","3.8%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","2.3%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.7"
"Shelby County, Illinois",""
"    Total",""
"        Estimate","20,634"
"        Margin of Error","±67"
"    Moved; within same county",""
"        Estimate","4.0%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Stark County, Illinois",""
"    Total",""
"        Estimate","5,284"
"        Margin of Error","±21"
"    Moved; within same county",""
"        Estimate","3.2%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","5.4%"
"        Margin of Error","±1.9"
"    Moved; from different  state",""
"        Estimate","2.1%"
"        Margin of Error","±1.2"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Stephenson County, Illinois",""
"    Total",""
"        Estimate","43,648"
"        Margin of Error","±100"
"    Moved; within same county",""
"        Estimate","7.6%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","1.8%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Tazewell County, Illinois",""
"    Total",""
"        Estimate","129,446"
"        Margin of Error","±256"
"    Moved; within same county",""
"        Estimate","5.7%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Union County, Illinois",""
"    Total",""
"        Estimate","16,764"
"        Margin of Error","±76"
"    Moved; within same county",""
"        Estimate","4.1%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","3.1%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Vermilion County, Illinois",""
"    Total",""
"        Estimate","72,440"
"        Margin of Error","±159"
"    Moved; within same county",""
"        Estimate","6.0%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","1.0%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Wabash County, Illinois",""
"    Total",""
"        Estimate","11,102"
"        Margin of Error","±44"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","4.4%"
"        Margin of Error","±1.8"
"    Moved; from different  state",""
"        Estimate","3.4%"
"        Margin of Error","±1.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Warren County, Illinois",""
"    Total",""
"        Estimate","16,501"
"        Margin of Error","±38"
"    Moved; within same county",""
"        Estimate","8.4%"
"        Margin of Error","±2.2"
"    Moved; from different county, same state",""
"        Estimate","5.0%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Washington County, Illinois",""
"    Total",""
"        Estimate","13,519"
"        Margin of Error","±39"
"    Moved; within same county",""
"        Estimate","4.7%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","3.1%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Wayne County, Illinois",""
"    Total",""
"        Estimate","15,825"
"        Margin of Error","±52"
"    Moved; within same county",""
"        Estimate","7.2%"
"        Margin of Error","±2.0"
"    Moved; from different county, same state",""
"        Estimate","2.5%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.5"
"White County, Illinois",""
"    Total",""
"        Estimate","13,506"
"        Margin of Error","±69"
"    Moved; within same county",""
"        Estimate","7.2%"
"        Margin of Error","±2.6"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Whiteside County, Illinois",""
"    Total",""
"        Estimate","54,739"
"        Margin of Error","±153"
"    Moved; within same county",""
"        Estimate","5.6%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","1.9%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Will County, Illinois",""
"    Total",""
"        Estimate","691,292"
"        Margin of Error","±644"
"    Moved; within same county",""
"        Estimate","3.6%"
"        Margin of Error","±0.2"
"    Moved; from different county, same state",""
"        Estimate","3.3%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.1"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.1"
"Williamson County, Illinois",""
"    Total",""
"        Estimate","66,200"
"        Margin of Error","±132"
"    Moved; within same county",""
"        Estimate","6.9%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Winnebago County, Illinois",""
"    Total",""
"        Estimate","279,977"
"        Margin of Error","±424"
"    Moved; within same county",""
"        Estimate","8.8%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.2"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.3"
"Woodford County, Illinois",""
"    Total",""
"        Estimate","37,933"
"        Margin of Error","±108"
"    Moved; within same county",""
"        Estimate","3.5%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","4.2%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Adams County, Indiana",""
"    Total",""
"        Estimate","35,220"
"        Margin of Error","±171"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","1.0%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","2.3%"
"        Margin of Error","±1.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Allen County, Indiana",""
"    Total",""
"        Estimate","383,898"
"        Margin of Error","±465"
"    Moved; within same county",""
"        Estimate","9.4%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","1.9%"
"        Margin of Error","±0.2"
"    Moved; from different  state",""
"        Estimate","2.3%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.2"
"Bartholomew County, Indiana",""
"    Total",""
"        Estimate","81,998"
"        Margin of Error","±196"
"    Moved; within same county",""
"        Estimate","8.3%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","4.2%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.8%"
"        Margin of Error","±0.4"
"Benton County, Indiana",""
"    Total",""
"        Estimate","8,642"
"        Margin of Error","±37"
"    Moved; within same county",""
"        Estimate","2.3%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","5.6%"
"        Margin of Error","±1.8"
"    Moved; from different  state",""
"        Estimate","2.2%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Blackford County, Indiana",""
"    Total",""
"        Estimate","11,916"
"        Margin of Error","±64"
"    Moved; within same county",""
"        Estimate","4.5%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","10.1%"
"        Margin of Error","±3.8"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Boone County, Indiana",""
"    Total",""
"        Estimate","72,172"
"        Margin of Error","±161"
"    Moved; within same county",""
"        Estimate","6.0%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","6.0%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","2.8%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Brown County, Indiana",""
"    Total",""
"        Estimate","15,455"
"        Margin of Error","±60"
"    Moved; within same county",""
"        Estimate","2.6%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","3.4%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Carroll County, Indiana",""
"    Total",""
"        Estimate","20,238"
"        Margin of Error","±77"
"    Moved; within same county",""
"        Estimate","3.2%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","5.1%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.4"
"Cass County, Indiana",""
"    Total",""
"        Estimate","37,342"
"        Margin of Error","±141"
"    Moved; within same county",""
"        Estimate","6.6%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","2.6%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","3.0%"
"        Margin of Error","±1.2"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Clark County, Indiana",""
"    Total",""
"        Estimate","121,511"
"        Margin of Error","±234"
"    Moved; within same county",""
"        Estimate","5.8%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","1.8%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","3.0%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Clay County, Indiana",""
"    Total",""
"        Estimate","26,182"
"        Margin of Error","±117"
"    Moved; within same county",""
"        Estimate","5.8%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Clinton County, Indiana",""
"    Total",""
"        Estimate","32,528"
"        Margin of Error","±118"
"    Moved; within same county",""
"        Estimate","5.3%"
"        Margin of Error","±1.7"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Crawford County, Indiana",""
"    Total",""
"        Estimate","10,348"
"        Margin of Error","±49"
"    Moved; within same county",""
"        Estimate","2.5%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±1.0"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.4"
"Daviess County, Indiana",""
"    Total",""
"        Estimate","32,963"
"        Margin of Error","±152"
"    Moved; within same county",""
"        Estimate","6.3%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","2.9%"
"        Margin of Error","±1.4"
"    Moved; from different  state",""
"        Estimate","1.0%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Dearborn County, Indiana",""
"    Total",""
"        Estimate","50,367"
"        Margin of Error","±131"
"    Moved; within same county",""
"        Estimate","4.1%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","1.1%"
"        Margin of Error","±0.3"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Decatur County, Indiana",""
"    Total",""
"        Estimate","26,130"
"        Margin of Error","±88"
"    Moved; within same county",""
"        Estimate","3.3%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","4.8%"
"        Margin of Error","±1.5"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"DeKalb County, Indiana",""
"    Total",""
"        Estimate","43,169"
"        Margin of Error","±118"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","6.6%"
"        Margin of Error","±2.1"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Delaware County, Indiana",""
"    Total",""
"        Estimate","111,144"
"        Margin of Error","±192"
"    Moved; within same county",""
"        Estimate","11.6%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","7.7%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","2.5%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.1"
"Dubois County, Indiana",""
"    Total",""
"        Estimate","43,033"
"        Margin of Error","±136"
"    Moved; within same county",""
"        Estimate","7.0%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"Elkhart County, Indiana",""
"    Total",""
"        Estimate","203,905"
"        Margin of Error","±474"
"    Moved; within same county",""
"        Estimate","6.3%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","2.2%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.2"
"Fayette County, Indiana",""
"    Total",""
"        Estimate","23,185"
"        Margin of Error","±91"
"    Moved; within same county",""
"        Estimate","5.1%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","4.0%"
"        Margin of Error","±1.8"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Floyd County, Indiana",""
"    Total",""
"        Estimate","79,623"
"        Margin of Error","±146"
"    Moved; within same county",""
"        Estimate","3.9%"
"        Margin of Error","±0.8"
"    Moved; from different county, same state",""
"        Estimate","3.1%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","2.4%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Fountain County, Indiana",""
"    Total",""
"        Estimate","16,371"
"        Margin of Error","±61"
"    Moved; within same county",""
"        Estimate","6.4%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","4.2%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.8"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Franklin County, Indiana",""
"    Total",""
"        Estimate","22,640"
"        Margin of Error","±93"
"    Moved; within same county",""
"        Estimate","3.1%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±1.3"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.2"
"Fulton County, Indiana",""
"    Total",""
"        Estimate","20,324"
"        Margin of Error","±50"
"    Moved; within same county",""
"        Estimate","5.3%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","3.7%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Gibson County, Indiana",""
"    Total",""
"        Estimate","32,591"
"        Margin of Error","±118"
"    Moved; within same county",""
"        Estimate","7.1%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","2.3%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Grant County, Indiana",""
"    Total",""
"        Estimate","65,759"
"        Margin of Error","±155"
"    Moved; within same county",""
"        Estimate","8.0%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","3.3%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","2.6%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Greene County, Indiana",""
"    Total",""
"        Estimate","30,529"
"        Margin of Error","±125"
"    Moved; within same county",""
"        Estimate","5.9%"
"        Margin of Error","±1.5"
"    Moved; from different county, same state",""
"        Estimate","4.3%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Hamilton County, Indiana",""
"    Total",""
"        Estimate","353,439"
"        Margin of Error","±462"
"    Moved; within same county",""
"        Estimate","5.2%"
"        Margin of Error","±0.6"
"    Moved; from different county, same state",""
"        Estimate","3.1%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","2.4%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.5%"
"        Margin of Error","±0.2"
"Hancock County, Indiana",""
"    Total",""
"        Estimate","81,065"
"        Margin of Error","±199"
"    Moved; within same county",""
"        Estimate","4.4%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","5.7%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","1.5%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Harrison County, Indiana",""
"    Total",""
"        Estimate","39,434"
"        Margin of Error","±151"
"    Moved; within same county",""
"        Estimate","2.6%"
"        Margin of Error","±0.9"
"    Moved; from different county, same state",""
"        Estimate","3.2%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Hendricks County, Indiana",""
"    Total",""
"        Estimate","177,578"
"        Margin of Error","±290"
"    Moved; within same county",""
"        Estimate","4.4%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","6.0%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","1.6%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Henry County, Indiana",""
"    Total",""
"        Estimate","48,358"
"        Margin of Error","±140"
"    Moved; within same county",""
"        Estimate","5.1%"
"        Margin of Error","±1.0"
"    Moved; from different county, same state",""
"        Estimate","5.2%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Howard County, Indiana",""
"    Total",""
"        Estimate","82,714"
"        Margin of Error","±213"
"    Moved; within same county",""
"        Estimate","8.6%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","3.3%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","0.9%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.3"
"Huntington County, Indiana",""
"    Total",""
"        Estimate","36,469"
"        Margin of Error","±86"
"    Moved; within same county",""
"        Estimate","5.5%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","4.7%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","1.4%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
