"Label (Grouping)","Population 1 year and over"
"Autauga County, Alabama",""
"    Total",""
"        Estimate","54,699"
"        Margin of Error","±172"
"    Moved; within same county",""
"        Estimate","5.4%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","3.7%"
"        Margin of Error","±0.8"
"    Moved; from different  state",""
"        Estimate","2.8%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.1"
"Baldwin County, Alabama",""
"    Total",""
"        Estimate","210,908"
"        Margin of Error","±337"
"    Moved; within same county",""
"        Estimate","6.2%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","2.3%"
"        Margin of Error","±0.5"
"    Moved; from different  state",""
"        Estimate","2.9%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.2"
"Barbour County, Alabama",""
"    Total",""
"        Estimate","25,050"
"        Margin of Error","±61"
"    Moved; within same county",""
"        Estimate","9.3%"
"        Margin of Error","±2.1"
"    Moved; from different county, same state",""
"        Estimate","3.1%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.9%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.2"
"Bibb County, Alabama",""
"    Total",""
"        Estimate","22,141"
"        Margin of Error","±145"
"    Moved; within same county",""
"        Estimate","3.5%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","5.6%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","1.1%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Blount County, Alabama",""
"    Total",""
"        Estimate","57,191"
"        Margin of Error","±187"
"    Moved; within same county",""
"        Estimate","3.5%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","2.0%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Bullock County, Alabama",""
"    Total",""
"        Estimate","10,201"
"        Margin of Error","±49"
"    Moved; within same county",""
"        Estimate","4.7%"
"        Margin of Error","±3.3"
"    Moved; from different county, same state",""
"        Estimate","1.8%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","0.4%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Butler County, Alabama",""
"    Total",""
"        Estimate","19,610"
"        Margin of Error","±88"
"    Moved; within same county",""
"        Estimate","3.9%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","1.8%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.7%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Calhoun County, Alabama",""
"    Total",""
"        Estimate","113,053"
"        Margin of Error","±273"
"    Moved; within same county",""
"        Estimate","10.1%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","3.5%"
"        Margin of Error","±0.6"
"    Moved; from different  state",""
"        Estimate","2.2%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Chambers County, Alabama",""
"    Total",""
"        Estimate","33,346"
"        Margin of Error","±107"
"    Moved; within same county",""
"        Estimate","5.7%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","2.3%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","1.8%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Cherokee County, Alabama",""
"    Total",""
"        Estimate","25,646"
"        Margin of Error","±125"
"    Moved; within same county",""
"        Estimate","4.6%"
"        Margin of Error","±1.4"
"    Moved; from different county, same state",""
"        Estimate","3.1%"
"        Margin of Error","±1.6"
"    Moved; from different  state",""
"        Estimate","1.7%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.0%"
"        Margin of Error","±0.1"
"Chilton County, Alabama",""
"    Total",""
"        Estimate","43,674"
"        Margin of Error","±156"
"    Moved; within same county",""
"        Estimate","6.5%"
"        Margin of Error","±1.9"
"    Moved; from different county, same state",""
"        Estimate","3.0%"
"        Margin of Error","±1.1"
"    Moved; from different  state",""
"        Estimate","0.5%"
"        Margin of Error","±0.3"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Choctaw County, Alabama",""
"    Total",""
"        Estimate","12,801"
"        Margin of Error","±66"
"    Moved; within same county",""
"        Estimate","4.8%"
"        Margin of Error","±1.8"
"    Moved; from different county, same state",""
"        Estimate","1.9%"
"        Margin of Error","±0.9"
"    Moved; from different  state",""
"        Estimate","2.9%"
"        Margin of Error","±2.2"
"    Moved; from abroad",""
"        Estimate","0.4%"
"        Margin of Error","±0.4"
"Clarke County, Alabama",""
"    Total",""
"        Estimate","23,923"
"        Margin of Error","±90"
"    Moved; within same county",""
"        Estimate","4.8%"
"        Margin of Error","±1.6"
"    Moved; from different county, same state",""
"        Estimate","0.9%"
"        Margin of Error","±0.4"
"    Moved; from different  state",""
"        Estimate","1.2%"
"        Margin of Error","±0.6"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Clay County, Alabama",""
"    Total",""
"        Estimate","13,252"
"        Margin of Error","±50"
"    Moved; within same county",""
"        Estimate","6.7%"
"        Margin of Error","±2.2"
"    Moved; from different county, same state",""
"        Estimate","1.0%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.6%"
"        Margin of Error","±0.7"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.2"
"Cleburne County, Alabama",""
"    Total",""
"        Estimate","14,833"
"        Margin of Error","±50"
"    Moved; within same county",""
"        Estimate","4.9%"
"        Margin of Error","±1.2"
"    Moved; from different county, same state",""
"        Estimate","3.7%"
"        Margin of Error","±1.2"
"    Moved; from different  state",""
"        Estimate","4.5%"
"        Margin of Error","±1.9"
"    Moved; from abroad",""
"        Estimate","0.2%"
"        Margin of Error","±0.2"
"Coffee County, Alabama",""
"    Total",""
"        Estimate","51,248"
"        Margin of Error","±115"
"    Moved; within same county",""
"        Estimate","7.9%"
"        Margin of Error","±1.3"
"    Moved; from different county, same state",""
"        Estimate","4.9%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","4.4%"
"        Margin of Error","±0.9"
"    Moved; from abroad",""
"        Estimate","0.6%"
"        Margin of Error","±0.3"
"Colbert County, Alabama",""
"    Total",""
"        Estimate","54,083"
"        Margin of Error","±218"
"    Moved; within same county",""
"        Estimate","5.5%"
"        Margin of Error","±1.1"
"    Moved; from different county, same state",""
"        Estimate","2.8%"
"        Margin of Error","±0.7"
"    Moved; from different  state",""
"        Estimate","0.8%"
"        Margin of Error","±0.4"
"    Moved; from abroad",""
"        Estimate","0.3%"
"        Margin of Error","±0.4"
"Conecuh County, Alabama",""
"    Total",""
"        Estimate","12,318"
"        Margin of Error","±38"
"    Moved; within same county",""
"        Estimate","1.6%"
"        Margin of Error","±0.7"
"    Moved; from different county, same state",""
"        Estimate","1.4%"
"        Margin of Error","±1.0"
"    Moved; from different  state",""
"        Estimate","0.3%"
"        Margin of Error","±0.5"
"    Moved; from abroad",""
"        Estimate","0.1%"
"        Margin of Error","±0.1"
"Coosa County, Alabama",""
"    Total",""
"        Estimate","10,670"
"        Margin of Error","±46"
"    Moved; within same county",""
"        Estimate","4.5%"
